current time,scenario,machine,solution algorithm,COD_SUPPLIER,COD_RANGE,vQuantityPurchased,vQuantityPurchasedRange,vPurchasedRange,pLowerQuantityDiscount,pUpperQuantityDiscount,pDiscount
21:07.5,tv1-pa5-ow4-cl2-su3-toy,20L8PC0W2YGL,RFEP,BP,g1,14427.33887,0,0,0,14427.3388,0
21:07.5,tv1-pa5-ow4-cl2-su3-toy,20L8PC0W2YGL,RFEP,BP,g2,14427.33887,14427.33887,1,14427.33887,3606834.7,0.3
21:07.5,tv1-pa5-ow4-cl2-su3-toy,20L8PC0W2YGL,RFEP,VIVA,g1,276477.7651,0,0,0,143581.7988,0
21:07.5,tv1-pa5-ow4-cl2-su3-toy,20L8PC0W2YGL,RFEP,VIVA,g2,276477.7651,276477.7651,1,143581.7995,35895449.7,0.5
2021-09-28 15:12:44.426682,tv1-pa5-ow4-cl2-su3-toy,20L8PC0W2YGL,RFEP,BP,g1,14427.338872136697,0.0,0.0,0.0,14427.3388,0.0
2021-09-28 15:12:44.426682,tv1-pa5-ow4-cl2-su3-toy,20L8PC0W2YGL,RFEP,BP,g2,14427.338872136697,14427.338872136697,1.0,14427.338872136697,3606834.7,0.3
2021-09-28 15:12:44.426682,tv1-pa5-ow4-cl2-su3-toy,20L8PC0W2YGL,RFEP,VIVA,g1,276477.76512786327,0.0,0.0,0.0,143581.79879999993,0.0
2021-09-28 15:12:44.426682,tv1-pa5-ow4-cl2-su3-toy,20L8PC0W2YGL,RFEP,VIVA,g2,276477.76512786327,276477.76512786327,1.0,143581.79951790895,35895449.69999999,0.5
